question,question_id,question_type,answer
Do you have information about A1C,0000001-1,information,"Summary : A1C is a blood test for type 2 diabetes and prediabetes. It measures your average blood glucose, or blood sugar, level over the past 3 months. Doctors may use the A1C alone or in combination with other diabetes tests to make a diagnosis. They also use the A1C to see how well you are managing your diabetes. This test is different from the blood sugar checks that people with diabetes do every day.    Your A1C test result is given in percentages. The higher the percentage, the higher your blood sugar levels have been:       - A normal A1C level is below 5.7 percent    - Prediabetes is between 5.7 to 6.4 percent. Having prediabetes is a risk factor for getting type 2 diabetes. People with prediabetes may need retests every year.    - Type 2 diabetes is above 6.5 percent    - If you have diabetes, you should have the A1C test at least twice a year. The A1C goal for many people with diabetes is below 7. It may be different for you. Ask what your goal should be. If your A1C result is too high, you may need to change your diabetes care plan.       NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Abdominal Pain ?,0000002-1,information,"Your abdomen extends from below your chest to your groin. Some people call it the stomach, but your abdomen contains many other important organs. Pain in the abdomen can come from any one of them. The pain may start somewhere else, such as your chest. Severe pain doesn't always mean a serious problem. Nor does mild pain mean a problem is not serious.     Call your healthcare provider if mild pain lasts a week or more or if you have pain with other symptoms. Get medical help immediately if       -  You have abdominal pain that is sudden and sharp    - You also have pain in your chest, neck or shoulder     -  You're vomiting blood or have blood in your stool     -  Your abdomen is stiff, hard and tender to touch     - You can't move your bowels, especially if you're also vomiting"
What is (are) Abortion ?,0000003-1,information,"An abortion is a procedure to end a pregnancy. It uses medicine or surgery to remove the embryo or fetus and placenta from the uterus. The procedure is done by a licensed health care professional.    The decision to end a pregnancy is very personal. If you are thinking of having an abortion, most healthcare providers advise counseling."
What is (are) Abscess ?,0000004-1,information,"An abscess is a pocket of pus. You can get an abscess almost anywhere in your body. When an area of your body becomes infected, your body's immune system tries to fight the infection. White blood cells go to the infected area, collect within the damaged tissue, and cause inflammation. During this process, pus forms. Pus is a mixture of living and dead white blood cells, germs, and dead tissue.     Bacteria, viruses, parasites and swallowed objects can all lead to abscesses. Skin abscesses are easy to detect. They are red, raised and painful. Abscesses inside your body may not be obvious and can damage organs, including the brain, lungs and others. Treatments include drainage and antibiotics."
What is (are) Acne ?,0000005-1,information,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars.    No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse.    If you have acne       -  Clean your skin gently     -  Try not to touch your skin     -  Avoid the sun        Treatments for acne include medicines and creams.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
What is (are) Acoustic Neuroma ?,0000006-1,information,"An acoustic neuroma is a benign tumor that develops on the nerve that connects the ear to the brain. The tumor usually grows slowly. As it grows, it presses against the hearing and balance nerves. At first, you may have no symptoms or mild symptoms. They can include       -  Loss of hearing on one side     -  Ringing in ears    -  Dizziness and balance problems       The tumor can also eventually cause numbness or paralysis of the face. If it grows large enough, it can press against the brain, becoming life-threatening.    Acoustic neuroma can be difficult to diagnose, because the symptoms are similar to those of middle ear problems. Ear exams, hearing tests, and scans can show if you have it.    If the tumor stays small, you may only need to have it checked regularly. If you do need treatment, surgery and radiation are options.    If the tumors affect both hearing nerves, it is often because of a genetic disorder called neurofibromatosis.    NIH: National Institute on Deafness and Communication Disorders"
Do you have information about Acupuncture,0000007-1,information,"Summary : Acupuncture has been practiced in China and other Asian countries for thousands of years. Acupuncture involves stimulating specific points on the body. This is most often done by inserting thin needles through the skin, to cause a change in the physical functions of the body.    Research has shown that acupuncture reduces nausea and vomiting after surgery and chemotherapy. It can also relieve pain. Researchers don't fully understand how acupuncture works. It might aid the activity of your body's pain-killing chemicals. It also might affect how you release chemicals that regulate blood pressure and flow.    NIH: National Center for Complementary and Integrative Health"
What is (are) Acute Bronchitis ?,0000008-1,information,"Bronchitis is an inflammation of the bronchial tubes, the airways that carry air to your lungs. It causes a cough that often brings up mucus. It can also cause shortness of breath, wheezing, a low fever, and chest tightness. There are two main types of bronchitis: acute and chronic.    Most cases of acute bronchitis get better within several days. But your cough can last for several weeks after the infection is gone.    The same viruses that cause colds and the flu often cause acute bronchitis. These viruses spread through the air when people cough, or though physical contact (for example, on unwashed hands). Being exposed to tobacco smoke, air pollution, dusts, vapors, and fumes can also cause acute bronchitis. Less often, bacteria can also cause acute bronchitis.    To diagnose acute bronchitis, your health care provider will ask about your symptoms and listen to your breathing. You may also have other tests.    Treatments include rest, fluids, and aspirin (for adults) or acetaminophen to treat fever. A humidifier or steam can also help. You may need inhaled medicine to open your airways if you are wheezing. Antibiotics won't help if the cause is viral. You may get antibiotics if the cause is bacterial.    NIH: National Heart, Lung, and Blood Institute"
What is (are) Acute Lymphocytic Leukemia ?,0000009-1,information,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute lymphocytic leukemia (ALL), also called acute lymphoblastic leukemia, there are too many of specific types of white blood cells called lymphocytes or lymphoblasts. ALL is the most common type of cancer in children.    Possible risk factors for ALL include being male, being white, previous chemotherapy treatment, exposure to radiation, and for adults, being older than 70.    Symptoms of ALL include:       - Weakness or feeling tired    - Fever    - Easy bruising or bleeding    - Bleeding under the skin    - Shortness of breath    - Weight loss or loss of appetite    - Pain in the bones or stomach    - Pain or a feeling of fullness below the ribs    - Painless lumps in the neck, underarm, stomach, or groin       Tests that examine the blood and bone marrow diagnose ALL. Treatments include chemotherapy, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.    NIH: National Cancer Institute"
What is (are) Acute Myeloid Leukemia ?,0000010-1,information,"Leukemia is cancer of the white blood cells. White blood cells help your body fight infection. Your blood cells form in your bone marrow. In leukemia, however, the bone marrow produces abnormal white blood cells. These cells crowd out the healthy blood cells, making it hard for blood to do its work. In acute myeloid leukemia (AML), there are too many of a specific type of white blood cell called a myeloblast.    AML is the most common type of acute leukemia in adults. This type of cancer usually gets worse quickly if it is not treated. Possible risk factors include smoking, previous chemotherapy treatment, and exposure to radiation.     Symptoms of AML include:       - Fever    - Shortness of breath    - Easy bruising or bleeding    - Bleeding under the skin    - Weakness or feeling tired    - Weight loss or loss of appetite       Tests that examine the blood and bone marrow diagnose AML. Treatments include chemotherapy, other drugs, radiation therapy, stem cell transplants, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells. Once the leukemia is in remission, you need additional treatment to make sure that it does not come back.    NIH: National Cancer Institute"
