question,question_id,question_type,answer
What is (are) Absence of the Septum Pellucidum ?,0000001-1,information,"The septum pellucidum (SP) is a thin membrane located at the midline of the brain between the two cerebral hemispheres, or halves of the brain.. It is connected to the corpus callosum -- a collection of nerve fibers that connect the cerebral hemispherers. This rare abnormality accompanies various malformations of the brain that affect intelligence, behavior, and the neurodevelopmental process, and seizures may occur. Children who are born without this membrane and also have other abnormalities--pituitary deficiencies and abnormal development of the optic disk--have a disorder known as septo-optic dysplasia. More information about this condition can be located at the NINDS Septo-Optic Dysplasia Information Page."
What are the treatments for Absence of the Septum Pellucidum ?,0000001-2,treatment,Absence of the SP alone is not a disorder but is instead a characteristic noted in children with septo-optic dysplasia or other developmental anomalies.
What is the outlook for Absence of the Septum Pellucidum ?,0000001-3,outlook,"When the absence of the septum pellucidum is part of septo-optic dysplasia, the prognosis varies according to the presence and severity of associated symptoms. By itself, absence of the septum pellucidum is not life-threatening."
what research (or clinical trials) is being done for Absence of the Septum Pellucidum ?,0000001-4,research,The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system ad to use that knowledge to reduce the burden of neurological disease. The NINDS conducts and supports a wide range of studies that explore the complex mechanisms of normal brain development. The knowledge gained from these fundamental studies provides the foundation for understanding how this process can go awry and offers hope for new means to treat and prevent developmental brain disorders.
What is (are) Acid Lipase Disease ?,0000002-1,information,"Acid lipase disease or deficiency occurs when the enzyme needed to break down certain fats that are normally digested by the body is lacking or missing, resulting in the toxic buildup of these fats in the bodys cells and tissues. These fatty substances, called lipids, include fatty acids, oils, and cholesterol. Two rare lipid storage diseases are caused by the deficiency of the enzyme lysosomal acid lipase:
                
Wolmans disease (also known as acid lipase deficiency) is an autosomal recessive disorder marked by the buildup of cholesteryl esters (normally a tranport form of cholesterol that brings nutrients into the cells and carries out waste) and triglycerides (a chemical form in which fats exist in the body). Infants with the disorder appear normal at birth but quickly develop progressive mental deterioration, low muscle tone,enlarged liver and grossly enlarged spleen, gastrointestinal problems including an excessive amount of fats in the stools, jaundice, anemia, vomiting, and calcium deposits in the adrenal glands, which causes them to harden. Both male and female infants are affected by the disorder.
                
Cholesteryl ester storage disease (CESD) is an extremely rare disorder that results from storage of cholesteryl esters and triglycerides in cells in the blood and lymph and lymphoid tissue. Children develop an enlarged liver, leading to cirrhosis and chronic liver failure before adulthood. Children may also develop calcium deposits in the adrenal glands and jaundice. Onset varies, and the disorder may not be diagnosed until adulthood."
What are the treatments for Acid Lipase Disease ?,0000002-2,treatment,"Enzyme replacement therapy for both Wolman's and cholesteryl ester storage disease is currently under investigation. Certain drugs may be given to help with adrenal gland production, and children may need to be fed intravenously. Individuals with CESD may benefit from a low cholesterol diet."
What is the outlook for Acid Lipase Disease ?,0000002-3,outlook,"Wolmans disease is usually fatal by age 1. The onset and course of cholesteryl ester storage disease varies, and individuals may live into adulthood."
what research (or clinical trials) is being done for Acid Lipase Disease ?,0000002-4,research,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge abut the brain and nervous system, and to use that knowledge to reduce the burden of neurological diseaset. The NINDS conducts and supports research to understand lipid storage diseases such as acid lipase deficiency. Additional research studies hope to identify biomarkers (signs that may indicate risk of a disease and improve diagnosis) for thee lipid storage diseases that will speed the development of novel therapeutics for these disorders. Other investigators hope to establish an international disease registry designed to collect longitudinal data that would be used to improve the care and treatment of individuals with lysosomal acid lipase deficiency.
                
The National Library of Medicine (NLM), a part of the National Institutes of Health (NIH) within the U.S. Department of Health and Human Services, offers free searches of biomedical literature through an Internet service called PubMed. To search, go to: http://www.ncbi.nlm.nih.gov/PubMed . The NLM also offers extensive health information from NIH and other trusted sources. To research your condition, go to: http://www.medlineplus.gov ."
What is (are) Pompe Disease ?,0000003-1,information,"Pompe disease is a rare (estimated at 1 in every 40,000 births), inherited and often fatal disorder that disables the heart and skeletal muscles. It is caused by mutations in a gene that makes an enzyme called acid alpha-glucosidase (GAA). Normally, the body uses GAA to break down glycogen, a stored form of sugar used for energy. The enzyme performs its function in intracellular compartments called lysosomes. Lysosomes are known to function as cellular clearinghouses; they ingest multiple substances including glycogen, which is converted by the GAA into glucose, a sugar that fuels muscles. In Pompe disease, mutations in the GAA gene reduce or completely eliminate this essential enzyme. Excessive amounts of lysosomal glycogen accumulate everywhere in the body, but the cells of the heart and skeletal muscles are the most seriously affected. Researchers have identified up to 300 different mutations in the GAA gene that cause the symptoms of Pompe disease, which can vary widely in terms of age of onset and severity. The severity of the disease and the age of onset are related to the degree of enzyme deficiency.
                
Early onset (or the infantile form) is the result of complete or near complete deficiency of GAA. Symptoms begin in the first months of life, with feeding problems, poor weight gain, muscle weakness, floppiness, and head lag. Respiratory difficulties are often complicated by lung infections. The heart is grossly enlarged. Many infants with Pompe disease also have enlarged tongues. Most babies die from cardiac or respiratory complications before their first birthday.
                
Late onset (or juvenile/adult) Pompe disease is the result of a partial deficiency of GAA. The onset can be as early as the first decade of childhood or as late as the sixth decade of adulthood. The primary symptom is muscle weakness progressing to respiratory weakness and death from respiratory failure after a course lasting several years. The heart is usually not involved. A diagnosis of Pompe disease can be confirmed by screening for the common genetic mutations or measuring the level of GAA enzyme activity in a blood sample. Once Pompe disease is diagnosed, testing of all family members and a consultation with a professional geneticist are recommended. Carriers are most reliably identified via genetic mutation analysis."
What are the treatments for Pompe Disease ?,0000003-2,treatment,"Individuals with Pompe disease are best treated by a team of specialists (such as cardiologist, neurologist, and respiratory therapist) knowledgeable about the disease, who can offer supportive and symptomatic care. The discovery of the GAA gene has led to rapid progress in understanding the biological mechanisms and properties of the GAA enzyme. As a result, an enzyme replacement therapy has been developed that has shown, in clinical trials with infantile-onset patients, to decrease heart size, maintain normal heart function, improve muscle function, tone, and strength, and reduce glycogen accumulation. A drug called alglucosidase alfa (Myozyme), has received FDA approval for the treatment of infants and children with Pompe disease. Another algluosidase alfa drug, Lumizyme, has been approved for late-onset (non-infantile) Pompe disease."
