question,question_id,question_type,answer
What is (are) Age-related Macular Degeneration ?,0000001-1,information,"Age-related macular degeneration, also known as AMD, is an eye disease that affects the macula, a part of the retina. The retina sends light from the eye to the brain, and the macula allows you to see fine detail. AMD Blurs Central Vision AMD blurs the sharp central vision you need for straight-ahead activities such as reading, sewing, and driving. AMD causes no pain. How AMD Progresses In some cases, AMD advances so slowly that people notice little change in their vision. In others, the disease progresses faster and may lead to a loss of vision in both eyes. AMD is a common eye condition among people age 50 and older. It is a leading cause of vision loss in older adults. Two Forms of AMD There are two forms of age-related macular degeneration -- dry and wet."
Who is at risk for Age-related Macular Degeneration? ?,0000001-4,susceptibility,"Risk Increases With Age AMD is most common in older people, but it can occur during middle age. The risk increases with age. Other Risk Factors Other risk factors include - Smoking  - Obesity  - Race. Whites are much more likely to lose vision from AMD than African-Americans.  - Family history. People with a family history of AMD are at higher risk of getting the disease.  - Gender. Women appear to be at greater risk than men. Smoking Obesity Race. Whites are much more likely to lose vision from AMD than African-Americans. Family history. People with a family history of AMD are at higher risk of getting the disease. Gender. Women appear to be at greater risk than men."
What are the symptoms of Age-related Macular Degeneration ?,0000001-5,symptoms,"AMD is detected during a comprehensive eye exam that includes a visual acuity test, a dilated eye exam, and tonometry. Tests for AMD - The visual acuity test is an eye chart test that measures how well you see at various distances.  - In the dilated eye exam, drops are placed in your eyes to widen, or dilate, the pupils. Then, your eye care professional uses a special magnifying lens to examine your retina and optic nerve for signs of AMD and other eye problems. After the exam, your close-up vision may remain blurred for several hours.  - With tonometry, an instrument measures the pressure inside the eye. Numbing drops may be applied to your eye for this test. The visual acuity test is an eye chart test that measures how well you see at various distances. In the dilated eye exam, drops are placed in your eyes to widen, or dilate, the pupils. Then, your eye care professional uses a special magnifying lens to examine your retina and optic nerve for signs of AMD and other eye problems. After the exam, your close-up vision may remain blurred for several hours. With tonometry, an instrument measures the pressure inside the eye. Numbing drops may be applied to your eye for this test. Your eye care professional also may do other tests to learn more about the structure and health of your eye. The Amsler Grid During an eye exam, you may be asked to look at an Amsler grid, shown here. You will cover one eye and stare at a black dot in the center of the grid. While staring at the dot, you may notice that the straight lines in the pattern appear wavy. You may notice that some of the lines are missing. These may be signs of AMD. Because dry AMD can turn into wet AMD at any time, you should get an Amsler grid from your eye care professional. You could then use the grid every day to evaluate your vision for signs of wet AMD. The Fluorescein Angiogram Test If your eye care professional believes you need treatment for wet AMD, he or she may suggest a fluorescein angiogram. In this test, a special dye is injected into your arm. Pictures are taken as the dye passes through the blood vessels in your eye. The test allows your eye care professional to identify any leaking blood vessels and recommend treatment."
What are the treatments for Age-related Macular Degeneration ?,0000001-6,treatment,"If You Have Advanced AMD Once dry AMD reaches the advanced stage, no form of treatment can prevent vision loss. However, treatment can delay and possibly prevent intermediate AMD from progressing to the advanced stage. The National Eye Institute's Age-Related Eye Disease Study found that taking certain vitamins and minerals may reduce the risk of developing advanced AMD. Wet AMD can be treated with laser surgery, photodynamic therapy, and injections into the eye. None of these treatments is a cure for wet AMD. The disease and loss of vision may progress despite treatment. Laser Surgery Laser surgery uses a laser to destroy the fragile, leaky blood vessels. Only a small percentage of people with wet AMD can be treated with laser surgery. Laser surgery is performed in a doctor's office or eye clinic. The risk of new blood vessels developing after laser treatment is high. Repeated treatments may be necessary. In some cases, vision loss may progress despite repeated treatments. Photodynamic Therapy With photodynamic therapy, a drug called verteporfin is injected into your arm. It travels throughout the body, including the new blood vessels in your eye. The drug tends to stick to the surface of new blood vessels. Next, the doctor shines a light into your eye for about 90 seconds. The light activates the drug. The activated drug destroys the new blood vessels and leads to a slower rate of vision decline. Unlike laser surgery, verteporfin does not destroy surrounding healthy tissue. Because the drug is activated by light, you must avoid exposing your skin or eyes to direct sunlight or bright indoor light for five days after treatment. Photodynamic therapy is relatively painless. It takes about 20 minutes and can be performed in a doctor's office. Photodynamic therapy slows the rate of vision loss. It does not stop vision loss or restore vision in eyes already damaged by advanced AMD. Treatment results often are temporary. You may need to be treated again. Drug Treatment for Wet AMD Wet AMD can now be treated with new drugs that are injected into the eye (anti-VEGF therapy). Abnormally high levels of a specific growth factor occur in eyes with wet AMD and promote the growth of abnormal new blood vessels. This drug treatment blocks the effects of the growth factor. You will need multiple injections that may be given as often as monthly. The eye is numbed before each injection. After the injection, you will remain in the doctor's office for a while and your eye will be monitored. This drug treatment can help slow down vision loss from AMD and in some cases improve sight.  If You Have Low Vision    If you have lost some sight from AMD, ask your eye care professional about low vision services and devices that may help you make the most of your remaining vision. Many community organizations and agencies offer information about low vision counseling and training and other special services for people with visual impairments. Research on AMD The National Eye Institute is conducting and supporting a number of studies to learn more about AMD. For example, scientists are - studying the possibility of transplanting healthy cells into a diseased retina  - evaluating families with a history of AMD to understand genetic and hereditary factors that may cause the disease  - looking at certain anti-inflammatory treatments for the wet form of AMD studying the possibility of transplanting healthy cells into a diseased retina evaluating families with a history of AMD to understand genetic and hereditary factors that may cause the disease looking at certain anti-inflammatory treatments for the wet form of AMD This research should provide better ways to detect, treat, and prevent vision loss in people with AMD."
What is (are) Age-related Macular Degeneration ?,0000001-8,information,"Age-related macular degeneration, or AMD, is a disease that blurs the sharp, central vision you need for straight-ahead activities such as reading, sewing, and driving. AMD affects the macula, the part of the eye that allows you to see fine detail. AMD causes no pain."
What is (are) Age-related Macular Degeneration ?,0000001-10,information,"Wet AMD occurs when abnormal blood vessels behind the retina start to grow under the macula. With wet AMD, loss of central vision can occur quickly. Wet AMD is considered to be advanced AMD and is more severe than the dry form."
What is (are) Age-related Macular Degeneration ?,0000001-11,information,"Dry AMD occurs when the light-sensitive cells in the macula slowly break down, gradually blurring central vision in the affected eye. As dry AMD gets worse, you may see a blurred spot in the center of your vision. Over time, as less of the macula functions, central vision in the affected eye can be lost. If you have vision loss from dry AMD in one eye only, you may not notice any changes in your overall vision. With the other eye seeing clearly, you can still drive, read, and see fine details. You may notice changes in your vision only if AMD affects both eyes. If you experience blurry vision, see an eye care professional for a comprehensive dilated eye exam."
What is (are) Age-related Macular Degeneration ?,0000001-12,information,"Dry AMD has three stages -- early AMD, intermediate AMD, and advanced dry AMD. All of these may occur in one or both eyes. People with early dry AMD have either several small drusen or a few medium-sized drusen. Drusen are yellow deposits under the retina which often are found in people over age 50. People with early AMD have no symptoms and no vision loss. People with intermediate dry AMD have either many medium-sized drusen or one or more large drusen. Some people see a blurred spot in the center of their vision. More light may be needed for reading and other tasks. In addition to drusen, people with advanced dry AMD have a breakdown of light-sensitive cells and supporting tissue in the macula. This breakdown can cause a blurred spot in the center of your vision. Over time, the blurred spot may get bigger and darker, taking more of your central vision. You may have difficulty reading or recognizing faces until they are very close to you."
What is (are) Age-related Macular Degeneration ?,0000001-13,information,Drusen are yellow deposits under the retina. They often are found in people over age 50. Your eye care professional can detect drusen during a comprehensive dilated eye exam.
What causes Age-related Macular Degeneration ?,0000001-14,causes,"Drusen alone do not usually cause vision loss. In fact, scientists are unclear about the connection between drusen and AMD. They do know that an increase in the size or number of drusen raises a person's risk of developing either advanced dry AMD or wet AMD. These changes can cause serious vision loss."
