question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What is (are) Alpha-1 Antitrypsin Deficiency ?,0000001-1,information,"Alpha-1 antitrypsin (an-tee-TRIP-sin) deficiency, or AAT deficiency, is a condition that raises your risk for lung disease (especially if you smoke) and other diseases.                Some people who have severe AAT deficiency develop emphysema (em-fi-SE-ma)often when they're only in their forties or fifties. Emphysema is a serious lung disease in which damage to the airways makes it hard to breathe.                A small number of people who have AAT deficiency develop cirrhosis (sir-RO-sis) and other serious liver diseases.                Cirrhosis is a disease in which the liver becomes scarred. The scarring prevents the organ from working well. In people who have AAT deficiency, cirrhosis and other liver diseases usually occur in infancy and early childhood.                A very small number of people who have AAT deficiency have a rare skin disease called necrotizing panniculitis (pa-NIK-yu-LI-tis). This disease can cause painful lumps under or on the surface of the skin.                This article focuses on AAT deficiency as it relates to lung disease.                Overview                Alpha-1 antitrypsin, also called AAT, is a protein made in the liver. Normally, the protein travels through the bloodstream. It helps protect the body's organs from the harmful effects of other proteins. The lungs are one of the main organs that the AAT protein protects.                AAT deficiency occurs if the AAT proteins made in the liver aren't the right shape. They get stuck inside liver cells and can't get into the bloodstream.                As a result, not enough AAT proteins travel to the lungs to protect them. This increases the risk of lung disease. Also, because too many AAT proteins are stuck in the liver, liver disease can develop.                Severe AAT deficiency occurs if blood levels of the AAT protein fall below the lowest amount needed to protect the lungs.                AAT deficiency is an inherited condition. ""Inherited"" means it's passed from parents to children through genes.                Doctors don't know how many people have AAT deficiency. Many people who have the condition may not know they have it. Estimates of how many people have AAT deficiency range from about 1 in every 1,600 people to about 1 in every 5,000 people.                Outlook                People who have AAT deficiency may not have serious complications, and they may live close to a normal lifespan.                Among people with AAT deficiency who have a related lung or liver disease, about 3percent die each year.                Smoking is the leading risk factor for life-threatening lung disease if you have AAT deficiency. Smoking or exposure to tobacco smoke increases the risk of earlier lung-related symptoms and lung damage. If you have severe AAT deficiency, smoking can shorten your life by as much as 20 years.                AAT deficiency has no cure, but treatments are available. Treatments often are based on the type of disease you develop.",Alpha-1 Antitrypsin Deficiency,0000001,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/aat,C0221757,T047,Disorders
What causes Alpha-1 Antitrypsin Deficiency ?,0000001-2,causes,"Alpha-1 antitrypsin (AAT) deficiency is an inherited disease. ""Inherited"" means it's passed from parents to children through genes.                Children who have AAT deficiency inherit two faulty AAT genes, one from each parent. These genes tell cells in the body how to make AAT proteins.                In AAT deficiency, the AAT proteins made in the liver aren't the right shape. Thus, they get stuck in the liver cells. The proteins can't get to the organs in the body that they protect, such as the lungs. Without the AAT proteins protecting the organs, diseases can develop.                The most common faulty gene that can cause AAT deficiency is called PiZ. If you inherit two PiZ genes (one from each parent), you'll have AAT deficiency.                If you inherit a PiZ gene from one parent and a normal AAT gene from the other parent, you won't have AAT deficiency. However, you might pass the PiZ gene to your children.                Even if you inherit two faulty AAT genes, you may not have any related complications. You may never even realize that you have AAT deficiency.",Alpha-1 Antitrypsin Deficiency,0000001,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/aat,C0221757,T047,Disorders
Who is at risk for Alpha-1 Antitrypsin Deficiency? ?,0000001-3,susceptibility,"Alpha-1 antitrypsin (AAT) deficiency occurs in all ethnic groups. However, the condition occurs most often in White people of European descent.                AAT deficiency is an inherited condition. ""Inherited"" means the condition is passed from parents to children through genes.                If you have bloodline relatives with known AAT deficiency, you're at increased risk for the condition. Even so, it doesn't mean that you'll develop one of the diseases related to the condition.                Some risk factors make it more likely that you'll develop lung disease if you have AAT deficiency. Smoking is the leading risk factor for serious lung disease if you have AAT deficiency. Your risk for lung disease also may go up if you're exposed to dust, fumes, or other toxic substances.",Alpha-1 Antitrypsin Deficiency,0000001,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/aat,C0221757,T047,Disorders
What are the symptoms of Alpha-1 Antitrypsin Deficiency ?,0000001-4,symptoms,"The first lung-related symptoms of alpha-1 antitrypsin (AAT) deficiency may include shortness of breath, less ability to be physically active, and wheezing. These signs and symptoms most often begin between the ages of 20 and 40.                Other signs and symptoms may include repeated lung infections, tiredness, a rapid heartbeat upon standing, vision problems, and weight loss.                Some people who have severe AAT deficiency develop emphysema (em-fi-SE-ma)often when they're only in their forties or fifties. Signs and symptoms of emphysema include problems breathing, wheezing, and a chronic (ongoing) cough.                At first, many people who have AAT deficiency are diagnosed with asthma. This is because wheezing also is a symptom of asthma. Also, people who have AAT deficiency respond well to asthma medicines.",Alpha-1 Antitrypsin Deficiency,0000001,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/aat,C0221757,T047,Disorders
How to diagnose Alpha-1 Antitrypsin Deficiency ?,0000001-5,exams and tests,"Alpha-1 antitrypsin (AAT) deficiency usually is diagnosed after you develop a lung or liver disease that's related to the condition.                Your doctor may suspect AAT deficiency if you have signs or symptoms of a serious lung condition, especially emphysema, without any obvious cause. He or she also may suspect AAT deficiency if you develop emphysema when you're 45 years old or younger.                Specialists Involved                Many doctors may be involved in the diagnosis of AAT deficiency. These include primary care doctors, pulmonologists (lung specialists), and hepatologists (liver specialists).                To diagnose AAT deficiency, your doctor will:                Ask about possible risk factors. Risk factors include smoking and exposure to dust, fumes, and other toxic substances.                Ask about your medical history. A common sign of AAT deficiency is if you have a lung or liver disease without any obvious causes or risk factors. Another sign is if you have emphysema at an unusually early age (45 years or younger).                Ask about your family's medical history. If you have bloodline relatives who have AAT deficiency, you're more likely to have the condition.                Diagnostic Tests                Your doctor may recommend tests to confirm a diagnosis of AAT deficiency. He or she also may recommend tests to check for lung- or liver-related conditions.                A genetic test is the most certain way to check for AAT deficiency. This test will show whether you have faulty AAT genes.                A blood test also may be used. This test checks the level of AAT protein in your blood. If the level is a lot lower than normal, it's likely that you have AAT deficiency.                Lung-Related Tests                If you have a lung disease related to AAT deficiency, your doctor may recommend lung function tests and high-resolution computed tomography (to-MOG-rah-fee) scanning, also called CT scanning.                Lung function tests measure how much air you can breathe in and out, how fast you can breathe air out, and how well your lungs deliver oxygen to your blood. These tests may show how severe your lung disease is and how well treatment is working.                High-resolution CT scanning uses x rays to create detailed pictures of parts of the body. A CT scan can show whether you have emphysema or another lung disease and how severe it is.",Alpha-1 Antitrypsin Deficiency,0000001,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/aat,C0221757,T047,Disorders
What are the treatments for Alpha-1 Antitrypsin Deficiency ?,0000001-6,treatment,"Alpha-1 antitrypsin (AAT) deficiency has no cure, but its related lung diseases have many treatments. Most of these treatments are the same as the ones used for a lung disease called COPD (chronic obstructive pulmonary disease).                If you have symptoms related to AAT deficiency, your doctor may recommend:                Medicines called inhaled bronchodilators (brong-ko-di-LA-tors) and inhaled steroids. These medicines help open your airways and make breathing easier. They also are used to treat asthma and COPD.                Flu and pneumococcal (noo-mo-KOK-al) vaccines to protect you from illnesses that could make your condition worse. Prompt treatment of lung infections also can help protect your lungs.                Pulmonary rehabilitation (rehab). Rehab involves treatment by a team of experts at a special clinic. In rehab, you'll learn how to manage your condition and function at your best.                Extra oxygen, if needed.                A lung transplant. A lung transplant may be an option if you have severe breathing problems. If you have a good chance of surviving the transplant surgery, you may be a candidate for it.                Augmentation (og-men-TA-shun) therapy is a treatment used only for people who have AAT-related lung diseases. This therapy involves getting infusions of the AAT protein. The infusions raise the level of the protein in your blood and lungs.                Not enough research has been done to show how well this therapy works. However, some research suggests that this therapy may slow the development of AAT deficiency in people who don't have severe disease.                People who have AAT deficiency and develop related liver or skin diseases will be referred to doctors who treat those diseases.                Future Treatments                Researchers are working on possible treatments that will target the faulty AAT genes and replace them with healthy genes. These treatments are in the early stages of development.                Researchers also are studying therapies that will help misshapen AAT proteins move from the liver into the bloodstream. They're also studying a type of augmentation therapy in which the AAT protein is inhaled instead of injected into a vein.                If you're interested in new treatments, ask your doctor about ongoing clinical trials for AAT deficiency.",Alpha-1 Antitrypsin Deficiency,0000001,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/aat,C0221757,T047,Disorders
How to prevent Alpha-1 Antitrypsin Deficiency ?,0000001-7,prevention,"You can't prevent alpha-1 antitrypsin (AAT) deficiency because the condition is inherited (passed from parents to children through genes).                If you inherit two faulty AAT genes, you'll have AAT deficiency. Even so, you may never develop one of the diseases related to the condition.                You can take steps to prevent or delay lung diseases related to AAT deficiency. One important step is to quit smoking. If you don't smoke, don't start.                Talk with your doctor about programs and products that can help you quit smoking. If you have trouble quitting smoking on your own, consider joining a support group. Many hospitals, workplaces, and community groups offer classes to help people quit smoking.                For more information about how to quit smoking, go to the Health Topics Smoking and Your Heart article and the National Heart, Lung, and Blood Institute's ""Your Guide to a Healthy Heart."" Although these resources focus on heart health, they include basic information about how to quit smoking.                Also, try to avoid secondhand smoke and places with dust, fumes, or other toxic substances that you may inhale.                Check your living and working spaces for things that may irritate your lungs. Examples include flower and tree pollen, ash, allergens, air pollution, wood burning stoves, paint fumes, and fumes from cleaning products and other household items.                If you have a lung disease related to AAT deficiency, ask your doctor whether you might benefit from augmentation therapy. This is a treatment in which you receive infusions of AAT protein.                Augmentation therapy raises the level of AAT protein in your blood and lungs. (For more information, go to ""How Is Alpha-1 Antitrypsin Deficiency Treated?"")",Alpha-1 Antitrypsin Deficiency,0000001,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/aat,C0221757,T047,Disorders
What is (are) Anemia ?,0000002-1,information,"Espaol                Anemia (uh-NEE-me-uh) is a condition in which your blood has a lower than normal number of red blood cells.                Anemia also can occur if your red blood cells don't contain enough hemoglobin (HEE-muh-glow-bin). Hemoglobin is an iron-rich protein that gives blood its red color. This protein helps red blood cells carry oxygen from the lungs to the rest of the body.                If you have anemia, your body doesn't get enough oxygen-rich blood. As a result, you may feel tired or weak. You also may have other symptoms, such as shortness of breath, dizziness, or headaches.                Severe or long-lasting anemia can damage your heart, brain, and other organs in your body. Very severe anemia may even cause death.                Overview                Blood is made up of many parts, including red blood cells, white blood cells, platelets (PLATE-lets), and plasma (the fluid portion of blood).                Red blood cells are disc-shaped and look like doughnuts without holes in the center. They carry oxygen and remove carbon dioxide (a waste product) from your body. These cells are made in the bone marrowa sponge-like tissue inside the bones.                White blood cells and platelets (PLATE-lets) also are made in the bone marrow. White blood cells help fight infection. Platelets stick together to seal small cuts or breaks on the blood vessel walls and stop bleeding. With some types of anemia, you may have low numbers of all three types of blood cells.                Anemia has three main causes: blood loss, lack of red blood cell production, or high rates of red blood cell destruction. These causes might be the result of diseases, conditions, or other factors.                Outlook                Many types of anemia can be mild, short term, and easily treated. You can even prevent some types with a healthy diet. Other types can be treated with dietary supplements.                However, certain types of anemia can be severe, long lasting, and even life threatening if not diagnosed and treated.                If you have signs or symptoms of anemia, see your doctor to find out whether you have the condition. Treatment will depend on the cause of the anemia and how severe it is.",Anemia,0000002,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/anemia,C0002871,T047,Disorders
What causes Anemia ?,0000002-3,causes,"The three main causes of anemia are:                Blood loss                Lack of red blood cell production                High rates of red blood cell destruction                For some people, the condition is caused by more than one of these factors.                Blood Loss                Blood loss is the most common cause of anemia, especially iron-deficiency anemia. Blood loss can be short term or persist over time.                Heavy menstrual periods or bleeding in the digestive or urinary tract can cause blood loss. Surgery, trauma, or cancer also can cause blood loss.                If a lot of blood is lost, the body may lose enough red blood cells to cause anemia.                Lack of Red Blood Cell Production                Both acquired and inherited conditions and factors can prevent your body from making enough red blood cells. ""Acquired"" means you aren't born with the condition, but you develop it. ""Inherited"" means your parents passed the gene for the condition on to you.                Acquired conditions and factors that can lead to anemia include poor diet, abnormal hormone levels, some chronic (ongoing) diseases, and pregnancy.                Aplastic anemia also can prevent your body from making enough red blood cells. This condition can be acquired or inherited.                Diet                A diet that lacks iron, folic acid (folate), or vitamin B12 can prevent your body from making enough red blood cells. Your body also needs small amounts of vitamin C, riboflavin, and copper to make red blood cells.                Conditions that make it hard for your body to absorb nutrients also can prevent your body from making enough red blood cells.                Hormones                Your body needs the hormone erythropoietin (eh-rith-ro-POY-eh-tin) to make red blood cells. This hormone stimulates the bone marrow to make these cells. A low level of this hormone can lead to anemia.                Diseases and Disease Treatments                Chronic diseases, like kidney disease and cancer, can make it hard for your body to make enough red blood cells.                Some cancer treatments may damage the bone marrow or damage the red blood cells' ability to carry oxygen. If the bone marrow is damaged, it can't make red blood cells fast enough to replace the ones that die or are destroyed.                People who have HIV/AIDS may develop anemia due to infections or medicines used to treat their diseases.                Pregnancy                Anemia can occur during pregnancy due to low levels of iron and folic acid and changes in the blood.                During the first 6 months of pregnancy, the fluid portion of a woman's blood (the plasma) increases faster than the number of red blood cells. This dilutes the blood and can lead to anemia.                Aplastic Anemia                Some infants are born without the ability to make enough red blood cells. This condition is called aplastic anemia. Infants and children who have aplastic anemia often need blood transfusions to increase the number of red blood cells in their blood.                Acquired conditions or factors, such as certain medicines, toxins, and infectious diseases, also can cause aplastic anemia.                High Rates of Red Blood Cell Destruction                Both acquired and inherited conditions and factors can cause your body to destroy too many red blood cells. One example of an acquired condition is an enlarged or diseased spleen.                The spleen is an organ that removes wornout red blood cells from the body. If the spleen is enlarged or diseased, it may remove more red blood cells than normal, causing anemia.                Examples of inherited conditions that can cause your body to destroy too many red blood cells include sickle cell anemia, thalassemias, and lack of certain enzymes. These conditions create defects in the red blood cells that cause them to die faster than healthy red blood cells.                Hemolytic anemia is another example of a condition in which your body destroys too many red blood cells. Inherited or acquired conditions or factors can cause hemolytic anemia. Examples include immune disorders, infections, certain medicines, or reactions to blood transfusions.",Anemia,0000002,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/anemia,C0002871,T047,Disorders
Who is at risk for Anemia? ?,0000002-4,susceptibility,"Anemia is a common condition. It occurs in all age, racial, and ethnic groups. Both men and women can have anemia. However, women of childbearing age are at higher risk for the condition because of blood loss from menstruation.                Anemia can develop during pregnancy due to low levels of iron and folic acid (folate) and changes in the blood. During the first 6 months of pregnancy, the fluid portion of a woman's blood (the plasma) increases faster than the number of red blood cells. This dilutes the blood and can lead to anemia.                During the first year of life, some babies are at risk for anemia because of iron deficiency. At-risk infants include those who are born too early and infants who are fed breast milk only or formula that isn't fortified with iron. These infants can develop iron deficiency by 6 months of age.                Infants between 1 and 2 years of age also are at risk for anemia. They may not get enough iron in their diets, especially if they drink a lot of cow's milk. Cow's milk is low in the iron needed for growth.                Drinking too much cow's milk may keep an infant or toddler from eating enough iron-rich foods or absorbing enough iron from foods.                Older adults also are at increased risk for anemia. Researchers continue to study how the condition affects older adults. Many of these people have other medical conditions as well.                Major Risk Factors                Factors that raise your risk for anemia include:                A diet that is low in iron, vitamins, or minerals                Blood loss from surgery or an injury                Long-term or serious illnesses, such as kidney disease, cancer, diabetes, rheumatoid arthritis, HIV/AIDS, inflammatory bowel disease (including Crohn's disease), liver disease, heart failure, and thyroid disease                Long-term infections                A family history of inherited anemia, such as sickle cell anemia or thalassemia",Anemia,0000002,NHLBI,http://www.nhlbi.nih.gov/health/health-topics/topics/anemia,C0002871,T047,Disorders
