question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What is (are) Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis ?,0000001-1,information,"Acanthamoeba is a microscopic, free-living ameba (single-celled living organism) commonly found in the environment that can cause rare, but severe, illness. Acanthamoeba causes three main types of illness involving the eye (Acanthamoeba keratitis), the brain and spinal cord (Granulomatous Encephalitis), and infections that can spread throughout the entire body (disseminated infection).",Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis,0000001,CDC,http://www.cdc.gov/parasites/acanthamoeba/,,,
Who is at risk for Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis? ?,0000001-2,susceptibility,"Acanthamoeba keratitis     Acanthamoeba keratitis is a rare disease that can affect anyone, but is most common in individuals who wear contact lenses. In the United States, an estimated 85% of cases occur in contact lens users. The incidence of the disease in developed countries is approximately one to 33 cases per million contact lens wearers.   For people who wear contact lenses, certain practices can increase the risk of getting Acanthamoeba keratitis:       - Storing and handling lenses improperly    - Disinfecting lenses improperly (such as using tap water or topping off solutions when cleaning the lenses or lens case)    - Swimming, using a hot tub, or showering while wearing lenses    - Coming into contact with contaminated water    - Having a history of trauma to the cornea      Contact lens wearers who practice proper lens care and non-contact lens wearers can still develop the infection. For additional information on contact lens care and prevention of Acanthamoeba keratitis visit CDC’s web page on Prevention and Control.   There have been no reports of Acanthamoeba keratitis being spread from one person to another.   Granulomatous Amebic Encephalitis (GAE)   Granulomatous Amebic Encephalitis (GAE) and disseminated infection are very rare forms of Acanthamoeba infection and primarily affect people with compromised immune systems. While unusual, disseminated infection can also affect healthy children and adults. Conditions that may increase a patient’s risk for GAE and disseminated infection include:       - AIDS    - Organ/Tissue transplant    - Steroids or excessive use of antibiotics    - Diabetes Mellitus    - Cancer    - Disorders in which white blood cells in the lymphatic tissue are over-produced or abnormal    - Disorders in which blood cells or blood clotting mechanisms do not function properly or are abnormal    - Liver cirrhosis    - Lupus",Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis,0000001,CDC,http://www.cdc.gov/parasites/acanthamoeba/,,,
How to diagnose Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis ?,0000001-5,exams and tests,"Early diagnosis is essential for effective treatment of Acanthamoeba keratitis. The infection is usually diagnosed by an eye specialist based on symptoms, growth of the ameba from a scraping of the eye, and/or seeing the ameba by a process called confocal microscopy.    Granulomatous Amebic Encephalitis (GAE) and disseminated infection are more difficult to diagnose and are often at advanced stages when they are diagnosed. Tests useful in the diagnosis of GAE include brain scans, biopsies, or spinal taps. In disseminated disease, biopsy of the involved sites (e.g. , skin, sinuses) can be useful in diagnosis.",Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis,0000001,CDC,http://www.cdc.gov/parasites/acanthamoeba/,,,
What are the treatments for Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis ?,0000001-6,treatment,"Early diagnosis is essential for effective treatment of Acanthamoeba keratitis. Several prescription eye medications are available for treatment. However, the infection can be difficult to treat. The best treatment regimen for each patient should be determined by an eye doctor. If you suspect your eye may be infected with Acanthamoeba, see an eye doctor immediately.    Skin infections that are caused by Acanthamoeba but have not spread to the central nervous system can be successfully treated. Because this is a serious infection and the people affected typically have weakened immune systems, early diagnosis offers the best chance at cure.    Most cases of brain and spinal cord infection with Acanthamoeba (Granulomatous Amebic Encephalitis) are fatal.",Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis,0000001,CDC,http://www.cdc.gov/parasites/acanthamoeba/,,,
How to prevent Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis ?,0000001-7,prevention,Topics,Acanthamoeba - Granulomatous Amebic Encephalitis (GAE); Keratitis,0000001,CDC,http://www.cdc.gov/parasites/acanthamoeba/,,,
What is (are) Acinetobacter in Healthcare Settings ?,0000003-1,information,"Acinetobacter [asz−in−ée−toe–back−ter] is a group of bacteria commonly found in soil and water. While there are many types or “species” of Acinetobacter and all can cause human disease, Acinetobacter baumannii [asz−in−ée−toe–back−ter   boe-maa-nee-ie] accounts for about 80% of reported infections.                Outbreaks of Acinetobacter infections typically occur in intensive care units and healthcare settings housing very ill patients. Acinetobacter infections rarely occur outside of healthcare settings.",Acinetobacter in Healthcare Settings,0000003,CDC,http://www.cdc.gov/HAI/organisms/acinetobacter.html,,,
What are the symptoms of Acinetobacter in Healthcare Settings ?,0000003-2,symptoms,"Acinetobacter causes a variety of diseases, ranging from pneumonia to serious blood or wound infections, and the symptoms vary depending on the disease. Acinetobacter may also “colonize” or live in a patient without causing infection or symptoms, especially in tracheostomy sites or open wounds.",Acinetobacter in Healthcare Settings,0000003,CDC,http://www.cdc.gov/HAI/organisms/acinetobacter.html,,,
Who is at risk for Acinetobacter in Healthcare Settings? ?,0000003-3,susceptibility,"Acinetobacter poses very little risk to healthy people. However, people who have weakened immune systems, chronic lung disease, or diabetes may be more susceptible to infections with Acinetobacter. Hospitalized patients, especially very ill patients on a ventilator, those with a prolonged hospital stay, those who have open wounds, or any person with invasive devices like urinary catheters are also at greater risk for Acinetobacter infection. Acinetobacter can be spread to susceptible persons by person-to-person contact or contact with contaminated surfaces.",Acinetobacter in Healthcare Settings,0000003,CDC,http://www.cdc.gov/HAI/organisms/acinetobacter.html,,,
How to prevent Acinetobacter in Healthcare Settings ?,0000003-4,prevention,"Acinetobacter can live on the skin and may survive in the environment for several days. Careful attention to infection control procedures, such as hand hygiene and environmental cleaning, can reduce the risk of transmission.",Acinetobacter in Healthcare Settings,0000003,CDC,http://www.cdc.gov/HAI/organisms/acinetobacter.html,,,
What are the treatments for Acinetobacter in Healthcare Settings ?,0000003-5,treatment,Acinetobacter is often resistant to many commonly prescribed antibiotics. Decisions on treatment of infections with Acinetobacter should be made on a case-by-case basis by a healthcare provider. Acinetobacter infection typically occurs in ill patients and can either cause or contribute to death in these patients.,Acinetobacter in Healthcare Settings,0000003,CDC,http://www.cdc.gov/HAI/organisms/acinetobacter.html,,,
