question,question_id,question_type,answer,focus,id,source,url,cui,semanticType,semanticGroup
What is Activated Charcoal ?,0000001-1,information,"Activated charcoal has pores that can trap chemicals. It is typically taken by mouth as a treatment for some swallowed poisons. There is little evidence for other uses. Charcoal is made from peat, coal, wood, coconut shell, or petroleum. Activated charcoal is made by heating charcoal in the presence of a gas. This process causes the charcoal to develop lots of internal spaces or pores. These pores help activated charcoal trap chemicals. Activated charcoal is commonly used to treat poisoning. It is also used for high cholesterol, hangovers, and upset stomach, but there is no strong scientific evidence to support most of these uses.",Activated Charcoal,0000001,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/269.html,,,
How effective is Activated Charcoal ?,0000001-2,how effective is it,"Natural Medicines Comprehensive Database  rates effectiveness based on scientific evidence according to the following scale:  Effective, Likely Effective, Possibly Effective, Possibly Ineffective, Likely Ineffective, Ineffective, and Insufficient Evidence to Rate. The effectiveness ratings for  ACTIVATED CHARCOAL  are as follows: Possibly effective for... Poisoning . Taking activated charcoal by mouth is useful for trapping drugs and other types of chemicals to stop poisoning. It should be used under the guidance of a healthcare provider along with standard treatments for poisoning. There is interest in using activated charcoal for a number of other purposes, but there isn't enough reliable information to say whether it might be helpful.",Activated Charcoal,0000001,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/269.html,,,
What is the action of Activated Charcoal and how does it work ?,0000001-3,how does it work,No information found.,Activated Charcoal,0000001,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/269.html,,,
Are there safety concerns or special precautions about Activated Charcoal ?,0000001-4,precautions,No information found.,Activated Charcoal,0000001,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/269.html,,,
Are there interactions between Activated Charcoal and other medications ?,0000001-5,interactions with medications,"Moderate Be cautious with this combination. Alcohol (Ethanol) Taking alcohol with activated charcoal might decrease how well activated charcoal works to prevent poison absorption. Birth control pills (Contraceptive drugs) Activated charcoal reduces absorption of substances in the stomach and intestines. Taking activated charcoal along with birth control pills can decrease how much of the birth control pills the body absorbs. This can decrease the effects of birth control pills. To prevent this interaction, take activated charcoal at least 3 hours after or 12 hours before birth control pills. Medications taken by mouth (Oral drugs) Activated charcoal reduces absorption of drugs and other chemicals in the stomach and intestines. Taking activated charcoal along with medications taken by mouth can decrease how much medicine the body absorbs. This can decrease the effects of your medication. To prevent this interaction, take activated charcoal at least one hour after medications you take by mouth. Syrup of ipecac Activated charcoal can bind syrup of ipecac in the stomach. This decreases the effects of syrup of ipecac.",Activated Charcoal,0000001,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/269.html,,,
Are there interactions between Activated Charcoal and herbs and supplements ?,0000001-6,interactions with herbs and supplements,There are no known interactions with herbs and supplements.,Activated Charcoal,0000001,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/269.html,,,
Are there interactions between Activated Charcoal and foods ?,0000001-7,interactions with foods,"Drinking alcohol might make activated charcoal less effective in trapping poisons and other chemicals. Also, keep in mind that activated charcoal can make it more difficult for the body to absorb micronutrients.",Activated Charcoal,0000001,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/269.html,,,
What is the dosage of Activated Charcoal ?,0000001-8,dose,No information found.,Activated Charcoal,0000001,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/269.html,,,
What is Alfalfa ?,0000002-1,information,"Alfalfa (Medicago sativa) is an herb that some people consume as a source of calcium, potassium, phosphorous, iron, and vitamins A, C, E, and K. Alfalfa is most commonly grown as food for livestock animals. In humans, it's often eaten as a garnish, and seems to prevent cholesterol absorption in the stomach. People use alfalfa for high cholesterol, diabetes, indigestion, and many other conditions, but there is no good scientific evidence to support these uses.",Alfalfa,0000002,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/19.html,,,
How effective is Alfalfa ?,0000002-2,how effective is it,"There is interest in using alfalfa for a number of purposes, but there isn't enough reliable information to say whether it might be helpful.",Alfalfa,0000002,MPlusHerbsSupplements,https://www.nlm.nih.gov/medlineplus/druginfo/natural/19.html,,,
